step,episode,episode_reward,episode_shaped_reward,episode_length,epsilon,fps,avg_loss,avg_q
13154,46,200.0,-7.779999999999984,316,1.0,487.8,0.0,0.0
13469,47,200.0,-8.474999999999985,315,1.0,487.9,0.0,0.0
13700,48,0.0,-8.054999999999989,231,1.0,487.8,0.0,0.0
13921,49,0.0,-8.005000000000003,221,1.0,487.6,0.0,0.0
14312,50,100.0,-8.154999999999973,391,1.0,487.7,0.0,0.0
14580,51,0.0,-8.23999999999999,268,1.0,487.5,0.0,0.0
14830,52,0.0,-7.45,250,1.0,487.4,0.0,0.0
15099,53,0.0,-8.244999999999987,269,1.0,487.3,0.0,0.0
15358,54,0.0,-8.19499999999999,259,1.0,487.1,0.0,0.0
15668,55,500.0,-8.449999999999985,310,1.0,487.1,0.0,0.0
16026,56,100.0,-7.989999999999986,358,1.0,487.4,0.0,0.0
16297,57,0.0,-8.25499999999999,271,1.0,487.3,0.0,0.0
16638,58,0.0,-8.604999999999983,341,1.0,487.0,0.0,0.0
16845,59,0.0,-7.935000000000003,207,1.0,486.8,0.0,0.0
17032,60,0.0,-7.834999999999997,187,1.0,486.4,0.0,0.0
17375,61,0.0,-8.61499999999998,343,1.0,485.6,0.0,0.0
17623,62,100.0,-8.139999999999992,248,1.0,484.7,0.0,0.0
17834,63,0.0,-7.955000000000002,211,1.0,484.6,0.0,0.0
18025,64,0.0,-7.854999999999997,191,1.0,484.4,0.0,0.0
18299,65,0.0,-8.269999999999989,274,1.0,484.3,0.0,0.0
18610,66,0.0,-8.454999999999993,311,1.0,484.2,0.0,0.0
18993,67,300.0,-8.81499999999998,383,1.0,483.6,0.0,0.0
19275,68,0.0,-8.30999999999999,282,1.0,483.3,0.0,0.0
19547,69,0.0,-8.25999999999999,272,1.0,483.3,0.0,0.0
19815,70,200.0,-8.23999999999999,268,1.0,483.1,0.0,0.0
20108,71,200.0,-8.364999999999982,293,1.0,483.1,0.0,0.0
20457,72,500.0,-8.644999999999982,349,1.0,483.2,0.0,0.0
20786,73,100.0,-8.544999999999991,329,1.0,483.3,0.0,0.0
21001,74,0.0,-7.974999999999991,215,1.0,483.3,0.0,0.0
21241,75,0.0,-7.399999999999988,240,1.0,483.3,0.0,0.0
21534,76,0.0,-8.364999999999991,293,1.0,483.3,0.0,0.0
21774,77,0.0,-8.099999999999993,240,1.0,483.3,0.0,0.0
22042,78,100.0,-8.239999999999991,268,1.0,483.3,0.0,0.0
22235,79,0.0,-7.864999999999997,193,1.0,483.2,0.0,0.0
22534,80,0.0,-8.394999999999985,299,1.0,483.4,0.0,0.0
22930,81,200.0,-8.879999999999978,396,1.0,483.5,0.0,0.0
23204,82,100.0,-8.269999999999985,274,1.0,483.6,0.0,0.0
23430,83,0.0,-8.029999999999989,226,1.0,483.5,0.0,0.0
23833,84,200.0,-8.914999999999978,403,1.0,483.7,0.0,0.0
24067,85,0.0,-8.069999999999993,234,1.0,483.7,0.0,0.0
24297,86,100.0,-8.049999999999994,230,1.0,483.5,0.0,0.0
24646,87,100.0,-8.644999999999978,349,1.0,483.6,0.0,0.0
25024,88,300.0,-8.789999999999987,378,1.0,483.8,0.0,0.0
25352,89,100.0,-8.539999999999992,328,1.0,484.0,0.0,0.0
25671,90,0.0,-7.794999999999985,319,1.0,484.1,0.0,0.0
26037,91,200.0,-8.729999999999986,366,1.0,484.1,0.0,0.0
26391,92,300.0,-8.66999999999998,354,1.0,484.1,0.0,0.0
26604,93,0.0,-7.964999999999991,213,1.0,483.8,0.0,0.0
26797,94,0.0,-7.8649999999999975,193,1.0,483.7,0.0,0.0
27074,95,0.0,-8.28499999999999,277,1.0,483.6,0.0,0.0
27345,96,300.0,-8.25499999999999,271,1.0,483.6,0.0,0.0
27626,97,200.0,-8.304999999999993,281,1.0,483.4,0.0,0.0
27926,98,700.0,-8.399999999999986,300,1.0,482.9,0.0,0.0
28157,99,0.0,-8.054999999999993,231,1.0,482.6,0.0,0.0
28460,100,0.0,-8.414999999999987,303,1.0,482.7,0.0,0.0
28663,101,0.0,-7.914999999999996,203,1.0,482.7,0.0,0.0
28907,102,0.0,-8.119999999999992,244,1.0,482.6,0.0,0.0
29282,103,0.0,-8.77499999999998,375,1.0,482.7,0.0,0.0
29537,104,300.0,-8.174999999999992,255,1.0,482.7,0.0,0.0
29793,105,0.0,-8.17999999999999,256,1.0,482.7,0.0,0.0
30081,106,0.0,-8.339999999999982,288,1.0,482.7,0.0,0.0
30445,107,200.0,-8.719999999999985,364,1.0,482.6,0.0,0.0
30820,108,400.0,-8.074999999999989,375,1.0,482.6,0.0,0.0
31164,109,200.0,-8.619999999999983,344,1.0,482.5,0.0,0.0
31400,110,0.0,-7.379999999999994,236,1.0,482.5,0.0,0.0
31683,111,0.0,-8.314999999999989,283,1.0,482.4,0.0,0.0
31872,112,0.0,-7.844999999999997,189,1.0,482.3,0.0,0.0
32299,113,100.0,-9.034999999999975,427,1.0,482.5,0.0,0.0
32539,114,0.0,-8.099999999999993,240,1.0,482.5,0.0,0.0
32787,115,0.0,-8.139999999999993,248,1.0,482.4,0.0,0.0
33069,116,0.0,-8.309999999999999,282,1.0,482.2,0.0,0.0
33293,117,0.0,-8.019999999999994,224,1.0,482.1,0.0,0.0
33600,118,400.0,-8.434999999999986,307,1.0,482.1,0.0,0.0
33868,119,0.0,-8.239999999999988,268,1.0,482.1,0.0,0.0
34204,120,400.0,-8.57999999999998,336,1.0,482.2,0.0,0.0
34419,121,0.0,-7.974999999999995,215,1.0,482.1,0.0,0.0
34667,122,200.0,-8.139999999999992,248,1.0,482.0,0.0,0.0
34978,123,200.0,-8.454999999999988,311,1.0,482.0,0.0,0.0
35371,124,200.0,-8.86499999999998,393,1.0,482.1,0.0,0.0
35726,125,0.0,-8.674999999999981,355,1.0,482.1,0.0,0.0
36050,126,100.0,-8.519999999999982,324,1.0,482.1,0.0,0.0
36404,127,0.0,-8.66999999999998,354,1.0,482.2,0.0,0.0
36713,128,100.0,-8.444999999999986,309,1.0,482.2,0.0,0.0
37113,129,300.0,-8.19999999999997,400,1.0,482.3,0.0,0.0
37380,130,0.0,-8.234999999999989,267,1.0,482.3,0.0,0.0
37665,131,200.0,-7.624999999999986,285,1.0,482.4,0.0,0.0
37967,132,200.0,-8.409999999999986,302,1.0,482.4,0.0,0.0
38219,133,0.0,-8.15999999999999,252,1.0,482.3,0.0,0.0
38606,134,700.0,-8.134999999999977,387,1.0,482.4,0.0,0.0
38857,135,200.0,-8.154999999999992,251,1.0,482.4,0.0,0.0
39049,136,0.0,-7.859999999999998,192,1.0,482.3,0.0,0.0
39323,137,0.0,-8.269999999999989,274,1.0,482.3,0.0,0.0
39568,138,200.0,-7.424999999999989,245,1.0,482.3,0.0,0.0
39787,139,0.0,-7.99499999999999,219,1.0,482.2,0.0,0.0
40052,140,100.0,-8.224999999999989,265,1.0,482.2,0.0,0.0
40375,141,0.0,-8.514999999999986,323,1.0,482.2,0.0,0.0
40751,142,0.0,-8.779999999999976,376,1.0,482.2,0.0,0.0
40992,143,200.0,-8.104999999999993,241,1.0,482.3,0.0,0.0
41182,144,0.0,-7.849999999999998,190,1.0,482.2,0.0,0.0
41382,145,0.0,-7.899999999999997,200,1.0,482.2,0.0,0.0
41691,146,0.0,-8.444999999999986,309,1.0,482.3,0.0,0.0
42083,147,0.0,-8.859999999999978,392,1.0,482.4,0.0,0.0
42325,148,0.0,-8.109999999999992,242,1.0,482.4,0.0,0.0
42668,149,200.0,-8.614999999999984,343,1.0,482.5,0.0,0.0
42858,150,0.0,-7.849999999999997,190,1.0,482.4,0.0,0.0
43139,151,0.0,-8.30499999999999,281,1.0,482.4,0.0,0.0
43361,152,0.0,-8.009999999999994,222,1.0,482.4,0.0,0.0
43657,153,200.0,-8.379999999999988,296,1.0,482.5,0.0,0.0
43913,154,0.0,-8.17999999999999,256,1.0,482.5,0.0,0.0
44104,155,0.0,-7.854999999999998,191,1.0,482.4,0.0,0.0
44330,156,0.0,-8.029999999999989,226,1.0,482.4,0.0,0.0
44619,157,0.0,-7.644999999999986,289,1.0,482.4,0.0,0.0
44863,158,0.0,-8.119999999999994,244,1.0,482.4,0.0,0.0
45172,159,0.0,-8.444999999999984,309,1.0,482.5,0.0,0.0
45385,160,0.0,-7.96499999999999,213,1.0,482.4,0.0,0.0
45658,161,0.0,-8.26499999999999,273,1.0,482.4,0.0,0.0
46158,162,500.0,-9.399999999999963,500,1.0,482.5,0.0,0.0
46453,163,0.0,-8.374999999999986,295,1.0,482.5,0.0,0.0
46643,164,0.0,-7.849999999999997,190,1.0,482.4,0.0,0.0
46893,165,0.0,-8.149999999999991,250,1.0,482.4,0.0,0.0
47167,166,0.0,-8.269999999999989,274,1.0,482.4,0.0,0.0
47683,167,0.0,-9.479999999999968,516,1.0,482.6,0.0,0.0
47992,168,100.0,-8.444999999999986,309,1.0,482.7,0.0,0.0
48328,169,100.0,-8.579999999999991,336,1.0,482.7,0.0,0.0
48529,170,0.0,-7.904999999999997,201,1.0,482.7,0.0,0.0
48816,171,0.0,-8.334999999999994,287,1.0,482.8,0.0,0.0
49272,172,300.0,-9.179999999999971,456,1.0,482.9,0.0,0.0
49623,173,300.0,-8.65499999999999,351,1.0,483.0,0.0,0.0
49904,174,100.0,-8.304999999999989,281,1.0,483.0,0.0,0.0
50372,175,200.0,-9.239999999999974,468,1.0,483.1,0.0,0.0
50626,176,0.0,-8.169999999999991,254,1.0,483.1,0.0,0.0
50894,177,0.0,-8.23999999999999,268,1.0,483.1,0.0,0.0
51205,178,0.0,-8.454999999999993,311,1.0,483.1,0.0,0.0
51492,179,0.0,-8.334999999999983,287,1.0,483.2,0.0,0.0
51780,180,0.0,-8.339999999999993,288,1.0,483.2,0.0,0.0
52143,181,200.0,-8.714999999999979,363,1.0,483.3,0.0,0.0
52455,182,200.0,-8.459999999999987,312,1.0,483.3,0.0,0.0
52776,183,400.0,-8.504999999999985,321,1.0,483.3,0.0,0.0
53050,184,0.0,-8.269999999999989,274,1.0,483.3,0.0,0.0
53285,185,200.0,-8.074999999999992,235,1.0,483.2,0.0,0.0
53539,186,0.0,-8.169999999999987,254,1.0,483.2,0.0,0.0
53853,187,200.0,-8.469999999999986,314,1.0,483.3,0.0,0.0
54164,188,0.0,-8.45499999999998,311,1.0,483.3,0.0,0.0
54432,189,0.0,-8.239999999999988,268,1.0,483.3,0.0,0.0
54663,190,0.0,-8.054999999999994,231,1.0,483.2,0.0,0.0
54970,191,0.0,-8.434999999999988,307,1.0,483.3,0.0,0.0
55192,192,0.0,-8.009999999999994,222,1.0,483.3,0.0,0.0
55465,193,0.0,-8.26499999999999,273,1.0,483.3,0.0,0.0
55701,194,0.0,-8.079999999999991,236,1.0,483.3,0.0,0.0
55995,195,200.0,-8.369999999999989,294,1.0,483.4,0.0,0.0
56354,196,100.0,-8.69499999999999,359,1.0,483.4,0.0,0.0
56704,197,0.0,-8.649999999999983,350,1.0,483.5,0.0,0.0
56962,198,0.0,-8.18999999999999,258,1.0,483.5,0.0,0.0
57309,199,100.0,-8.634999999999984,347,1.0,483.6,0.0,0.0
57609,200,0.0,-8.39999999999998,300,1.0,483.6,0.0,0.0
57846,201,0.0,-8.084999999999994,237,1.0,483.5,0.0,0.0
58157,202,0.0,-8.454999999999993,311,1.0,483.6,0.0,0.0
58441,203,500.0,-8.31999999999999,284,1.0,483.6,0.0,0.0
58719,204,0.0,-8.289999999999985,278,1.0,483.5,0.0,0.0
59013,205,0.0,-8.369999999999987,294,1.0,483.6,0.0,0.0
59290,206,0.0,-8.28499999999999,277,1.0,483.6,0.0,0.0
59524,207,0.0,-8.069999999999993,234,1.0,483.6,0.0,0.0
59762,208,0.0,-8.089999999999993,238,1.0,483.6,0.0,0.0
60030,209,200.0,-8.23999999999999,268,1.0,483.6,0.0,0.0
60293,210,0.0,-8.214999999999991,263,1.0,483.6,0.0,0.0
60671,211,300.0,-8.789999999999978,378,1.0,483.7,0.0,0.0
60901,212,0.0,-8.049999999999994,230,1.0,483.6,0.0,0.0
61300,213,0.0,-8.894999999999978,399,1.0,483.7,0.0,0.0
61575,214,200.0,-8.274999999999984,275,1.0,483.7,0.0,0.0
61878,215,0.0,-8.414999999999985,303,1.0,483.8,0.0,0.0
62082,216,0.0,-7.920000000000003,204,1.0,483.7,0.0,0.0
62395,217,300.0,-8.46499999999999,313,1.0,483.8,0.0,0.0
62653,218,0.0,-8.189999999999994,258,1.0,483.8,0.0,0.0
62846,219,0.0,-7.8649999999999975,193,1.0,483.8,0.0,0.0
63095,220,0.0,-8.144999999999992,249,1.0,483.8,0.0,0.0
63303,221,0.0,-7.939999999999996,208,1.0,483.7,0.0,0.0
63494,222,0.0,-7.854999999999998,191,1.0,483.7,0.0,0.0
63789,223,200.0,-7.674999999999984,295,1.0,483.7,0.0,0.0
64008,224,100.0,-7.994999999999995,219,1.0,483.7,0.0,0.0
64288,225,0.0,-8.29999999999999,280,1.0,483.7,0.0,0.0
64584,226,0.0,-8.379999999999985,296,1.0,483.7,0.0,0.0
64856,227,0.0,-8.259999999999991,272,1.0,483.7,0.0,0.0
65236,228,200.0,-8.799999999999972,380,1.0,483.8,0.0,0.0
65476,229,0.0,-8.1,240,1.0,483.8,0.0,0.0
65665,230,0.0,-7.844999999999997,189,1.0,483.7,0.0,0.0
66009,231,400.0,-8.619999999999981,344,1.0,483.8,0.0,0.0
66328,232,400.0,-8.494999999999985,319,1.0,483.8,0.0,0.0
66601,233,0.0,-8.264999999999993,273,1.0,483.8,0.0,0.0
66865,234,0.0,-8.219999999999988,264,1.0,483.8,0.0,0.0
67115,235,200.0,-8.149999999999991,250,1.0,483.8,0.0,0.0
67398,236,100.0,-8.314999999999989,283,1.0,483.8,0.0,0.0
67745,237,500.0,-8.634999999999977,347,1.0,483.9,0.0,0.0
68298,238,400.0,-9.664999999999967,553,1.0,484.1,0.0,0.0
68622,239,200.0,-7.819999999999984,324,1.0,484.1,0.0,0.0
68961,240,0.0,-8.594999999999985,339,1.0,484.2,0.0,0.0
69264,241,200.0,-8.414999999999983,303,1.0,484.2,0.0,0.0
69516,242,300.0,-8.159999999999991,252,1.0,484.2,0.0,0.0
69850,243,500.0,-8.569999999999983,334,1.0,484.2,0.0,0.0
70100,244,0.0,-8.149999999999988,250,1.0,484.2,0.0,0.0
70356,245,0.0,-8.179999999999993,256,1.0,484.2,0.0,0.0
70710,246,100.0,-8.669999999999984,354,1.0,484.3,0.0,0.0
71028,247,0.0,-7.789999999999982,318,1.0,484.3,0.0,0.0
71392,248,0.0,-8.719999999999978,364,1.0,484.3,0.0,0.0
71626,249,0.0,-8.069999999999988,234,1.0,484.3,0.0,0.0
71824,250,0.0,-7.889999999999992,198,1.0,484.3,0.0,0.0
72060,251,0.0,-8.079999999999991,236,1.0,484.3,0.0,0.0
72265,252,0.0,-7.92499999999999,205,1.0,484.2,0.0,0.0
72455,253,0.0,-7.849999999999997,190,1.0,484.2,0.0,0.0
72645,254,0.0,-7.849999999999997,190,1.0,484.1,0.0,0.0
73025,255,200.0,-8.79999999999998,380,1.0,484.2,0.0,0.0
73313,256,0.0,-8.33999999999999,288,1.0,484.2,0.0,0.0
73535,257,0.0,-8.009999999999994,222,1.0,484.2,0.0,0.0
73793,258,0.0,-8.18999999999999,258,1.0,484.2,0.0,0.0
74094,259,200.0,-8.404999999999987,301,1.0,484.2,0.0,0.0
74401,260,300.0,-7.734999999999985,307,1.0,484.2,0.0,0.0
74742,261,0.0,-8.604999999999979,341,1.0,484.3,0.0,0.0
75016,262,400.0,-8.269999999999989,274,1.0,484.3,0.0,0.0
75271,263,100.0,-7.47499999999999,255,1.0,484.3,0.0,0.0
75462,264,0.0,-7.854999999999997,191,1.0,484.2,0.0,0.0
75676,265,0.0,-7.269999999999995,214,1.0,484.2,0.0,0.0
75975,266,0.0,-8.394999999999985,299,1.0,484.3,0.0,0.0
76205,267,200.0,-8.049999999999994,230,1.0,484.2,0.0,0.0
76433,268,0.0,-8.039999999999996,228,1.0,484.2,0.0,0.0
76698,269,0.0,-8.224999999999989,265,1.0,484.2,0.0,0.0
77072,270,200.0,-8.769999999999982,374,1.0,484.3,0.0,0.0
77328,271,0.0,-8.17999999999999,256,1.0,484.3,0.0,0.0
77580,272,0.0,-7.459999999999988,252,1.0,484.3,0.0,0.0
77977,273,0.0,-8.884999999999984,397,1.0,484.3,0.0,0.0
78282,274,200.0,-8.424999999999986,305,1.0,484.3,0.0,0.0
78520,275,0.0,-8.089999999999993,238,1.0,484.3,0.0,0.0
78867,276,600.0,-8.634999999999991,347,1.0,484.4,0.0,0.0
79190,277,0.0,-8.514999999999988,323,1.0,484.4,0.0,0.0
79447,278,0.0,-7.484999999999988,257,1.0,484.4,0.0,0.0
79767,279,0.0,-8.499999999999986,320,1.0,484.5,0.0,0.0
80203,280,500.0,-9.079999999999977,436,0.9999,469.6,0.0113,-0.0172
80456,281,0.0,-8.164999999999987,253,0.9998,464.6,0.0103,-0.0038
80657,282,0.0,-7.904999999999991,201,0.9997,460.8,0.0101,0.002
80952,283,0.0,-8.37499999999999,295,0.9996,456.0,0.0096,-0.01
81273,284,400.0,-8.504999999999981,321,0.9994,450.4,0.0102,-0.0029
81563,285,0.0,-8.349999999999984,290,0.9993,445.2,0.0126,-0.0365
81890,286,100.0,-7.834999999999983,327,0.9991,439.9,0.0131,-0.0117
82177,287,0.0,-8.334999999999985,287,0.999,434.9,0.013,-0.0355
82501,288,0.0,-8.519999999999985,324,0.9989,430.1,0.01,-0.0029
82778,289,0.0,-8.284999999999993,277,0.9987,426.0,0.0141,0.0033
83050,290,0.0,-8.259999999999987,272,0.9986,422.3,0.0117,-0.018
83351,291,300.0,-7.704999999999985,301,0.9985,418.2,0.0107,-0.0064
83541,292,0.0,-7.849999999999997,190,0.9984,415.4,0.0143,-0.0005
83801,293,0.0,-8.199999999999992,260,0.9983,411.8,0.0112,-0.0087
84042,294,0.0,-8.104999999999993,241,0.9982,408.4,0.0137,-0.0308
84297,295,200.0,-8.17499999999999,255,0.9981,405.1,0.0102,-0.037
84560,296,200.0,-8.21499999999999,263,0.9979,401.9,0.0131,-0.0066
84820,297,0.0,-8.199999999999992,260,0.9978,398.8,0.0117,-0.0289
85118,298,0.0,-7.689999999999982,298,0.9977,395.5,0.0082,-0.0005
85307,299,0.0,-7.844999999999997,189,0.9976,393.3,0.0111,-0.0334
85562,300,0.0,-8.174999999999994,255,0.9975,390.2,0.0115,-0.0391
85896,301,300.0,-8.569999999999983,334,0.9973,386.2,0.0137,0.0044
86152,302,400.0,-7.479999999999996,256,0.9972,383.4,0.0088,0.0013
86355,303,0.0,-7.914999999999996,203,0.9971,381.2,0.0128,-0.0037
86676,304,0.0,-7.804999999999981,321,0.997,378.0,0.0134,-0.0018
87015,305,0.0,-8.594999999999983,339,0.9968,374.6,0.0109,-0.0195
87270,306,0.0,-8.174999999999994,255,0.9967,372.0,0.0124,-0.0179
87522,307,0.0,-8.159999999999991,252,0.9966,369.5,0.0107,-0.0039
87776,308,0.0,-8.169999999999991,254,0.9965,367.0,0.0085,-0.0397
88032,309,0.0,-8.179999999999987,256,0.9964,364.4,0.0122,-0.0569
88336,310,0.0,-8.41999999999999,304,0.9962,361.4,0.0134,0.0071
88749,311,100.0,-8.964999999999975,413,0.9961,357.4,0.0114,0.0049
88951,312,0.0,-7.909999999999991,202,0.996,355.5,0.0126,0.0018
89152,313,0.0,-7.904999999999992,201,0.9959,353.6,0.0118,-0.0018
89394,314,100.0,-8.109999999999989,242,0.9958,351.4,0.01,-0.0061
89633,315,0.0,-8.094999999999992,239,0.9957,349.3,0.0133,-0.0094
89963,316,0.0,-8.549999999999981,330,0.9955,346.4,0.0127,-0.0121
90381,317,100.0,-8.98999999999998,418,0.9953,342.8,0.0071,-0.0504
90661,318,0.0,-8.299999999999994,280,0.9952,340.5,0.0118,-0.0553
90977,319,0.0,-8.479999999999984,316,0.9951,337.9,0.0135,-0.0561
91375,320,200.0,-8.889999999999972,398,0.9949,334.8,0.0096,-0.0579
91613,321,0.0,-8.089999999999993,238,0.9948,333.0,0.0093,-0.0529
91953,322,0.0,-8.599999999999984,340,0.9946,330.6,0.0109,-0.0545
92199,323,0.0,-8.12999999999999,246,0.9945,328.9,0.0107,-0.0614
92462,324,100.0,-8.214999999999991,263,0.9944,327.0,0.0091,-0.0557
92648,325,0.0,-7.829999999999997,186,0.9943,325.6,0.0133,-0.0576
92912,326,0.0,-8.21999999999999,264,0.9942,323.8,0.0113,-0.0586
93171,327,0.0,-8.194999999999991,259,0.9941,322.2,0.0125,-0.0565
93373,328,0.0,-7.909999999999997,202,0.994,321.0,0.0144,-0.0579
93680,329,0.0,-8.434999999999988,307,0.9938,319.1,0.0078,-0.0566
94012,330,0.0,-8.559999999999986,332,0.9937,317.1,0.011,-0.0562
94369,331,100.0,-8.684999999999981,357,0.9935,315.0,0.0119,-0.0579
94634,332,0.0,-8.224999999999987,265,0.9934,313.4,0.0099,-0.0528
94887,333,0.0,-8.164999999999992,253,0.9933,312.0,0.0095,-0.0522
95090,334,0.0,-7.914999999999996,203,0.9932,310.8,0.0102,-0.0544
95385,335,0.0,-8.374999999999988,295,0.9931,309.1,0.0072,-0.0536
95643,336,0.0,-8.18999999999999,258,0.993,307.5,0.0116,-0.0611
95909,337,200.0,-8.22999999999999,266,0.9928,305.9,0.011,-0.0573
96114,338,0.0,-7.9250000000000025,205,0.9927,304.8,0.0104,-0.0564
96365,339,100.0,-8.154999999999987,251,0.9926,303.2,0.0092,-0.0544
96713,340,200.0,-7.939999999999983,348,0.9925,301.3,0.0113,-0.0555
97017,341,0.0,-8.419999999999987,304,0.9923,299.7,0.0112,-0.0618
97258,342,0.0,-8.104999999999993,241,0.9922,298.5,0.0141,-0.0556
97587,343,300.0,-8.544999999999984,329,0.9921,296.9,0.0123,-0.055
97900,344,200.0,-8.464999999999984,313,0.9919,295.4,0.008,-0.0532
