step,episode,episode_reward,episode_shaped_reward,episode_length,epsilon,fps,avg_loss,avg_q
298632,881,1140.0,6.4879999999999995,434.4,0.0,368.1,0.0,0.0
302656,891,1220.0,4.319999999999999,405.2,0.0,332.9,0.0,0.0
307056,901,1070.0,6.04,417.6,0.0,334.0,0.0,0.0
312064,911,1530.0,5.475999999999999,414.2,0.0,335.2,0.0,0.0
316520,921,1880.0,8.697999999999999,474.7,0.0,336.1,0.0,0.0
320920,931,1700.0,7.4700000000000015,467.1,0.0,337.2,0.0,0.0
325024,941,1780.0,7.337999999999999,435.8,0.0,338.1,0.0,0.0
329592,951,2200.0,9.389999999999999,476.4,0.0,339.2,0.0,0.0
333536,961,1000.0,5.61,400.4,0.0,340.1,0.0,0.0
338328,971,1490.0,7.292,400.1,0.0,341.0,0.0,0.0
342872,981,2790.0,13.447999999999999,535.0,0.0,342.0,0.0,0.0
348224,991,1530.0,7.083999999999999,406.6,0.0,343.0,0.0,0.0
353032,1001,3682.0,10.758,566.7,0.0,344.1,0.0,0.0
357264,1011,2220.0,10.456,479.1,0.0,345.0,0.0,0.0
361632,1021,1410.0,7.473999999999999,416.1,0.0,345.7,0.0,0.0
366432,1031,1520.0,6.3100000000000005,405.8,0.0,346.8,0.0,0.0
370872,1041,2110.0,9.388,484.9,0.0,347.4,0.0,0.0
375360,1051,1490.0,5.76,418.5,0.0,348.3,0.0,0.0
379592,1061,1730.0,6.992,466.3,0.0,349.1,0.0,0.0
383592,1071,1670.0,6.194,432.0,0.0,349.7,0.0,0.0
388840,1081,2230.0,6.43,446.1,0.0,350.6,0.0,0.0
393264,1091,1410.0,5.43,418.1,0.0,351.3,0.0,0.0
396872,1101,2630.0,10.325999999999999,487.4,0.0,351.9,0.0,0.0
401584,1111,1510.0,6.63,430.1,0.0,324.5,0.0,0.0
405840,1121,1730.0,5.590000000000001,397.6,0.0,325.4,0.0,0.0
410184,1131,1880.0,6.2299999999999995,407.8,0.0,326.3,0.0,0.0
414240,1141,1200.0,4.66,414.5,0.0,327.0,0.0,0.0
418048,1151,1810.0,6.779999999999999,462.6,0.0,327.6,0.0,0.0
422784,1161,1900.0,6.232000000000001,401.1,0.0,328.6,0.0,0.0
427080,1171,2320.0,7.169999999999999,428.1,0.0,329.2,0.0,0.0
430720,1181,2140.0,8.005999999999998,418.2,0.0,329.9,0.0,0.0
436128,1191,2320.0,8.01,439.4,0.0,330.9,0.0,0.0
440328,1201,2130.0,7.5600000000000005,419.8,0.0,331.5,0.0,0.0
445136,1211,2870.0,9.614,531.6,0.0,332.4,0.0,0.0
449616,1221,2080.0,7.252,426.5,0.0,333.0,0.0,0.0
453680,1231,2630.0,8.894,454.8,0.0,333.7,0.0,0.0
458704,1241,3540.0,12.054,454.2,0.0,334.6,0.0,0.0
462856,1251,2480.0,9.35,420.2,0.0,335.1,0.0,0.0
466384,1261,1980.0,7.5859999999999985,407.3,0.0,335.7,0.0,0.0
470960,1271,2460.0,9.016000000000002,445.7,0.0,336.5,0.0,0.0
475560,1281,2100.0,7.997999999999999,431.3,0.0,337.1,0.0,0.0
479320,1291,1770.0,6.24,412.7,0.0,337.6,0.0,0.0
483480,1301,1950.0,6.24,401.5,0.0,338.2,0.0,0.0
486960,1311,1360.0,5.79,387.3,0.0,338.8,0.0,0.0
491168,1321,2150.0,7.26,388.7,0.0,339.4,0.0,0.0
495752,1331,2040.0,7.9,414.0,0.0,339.9,0.0,0.0
500360,1341,2830.0,10.072,479.2,0.0,318.5,0.0,0.0
504704,1351,2410.0,8.595999999999998,429.8,0.0,319.2,0.0,0.0
508664,1361,3070.0,9.376,440.1,0.0,319.8,0.0,0.0
513536,1371,2930.0,8.764,452.1,0.0,320.5,0.0,0.0
517688,1381,2150.0,7.58,431.6,0.0,321.2,0.0,0.0
521864,1391,2410.0,7.894,415.5,0.0,321.8,0.0,0.0
526400,1401,2300.0,8.069999999999999,442.5,0.0,322.4,0.0,0.0
530832,1411,2050.0,6.36,418.2,0.0,323.2,0.0,0.0
534248,1421,2020.0,6.81,407.7,0.0,323.7,0.0,0.0
538992,1431,2360.0,8.844,417.0,0.0,324.4,0.0,0.0
542976,1441,2760.0,10.214,437.0,0.0,324.9,0.0,0.0
548160,1451,2620.0,9.576,431.8,0.0,325.7,0.0,0.0
552096,1461,2870.0,10.25,451.8,0.0,326.2,0.0,0.0
556664,1471,2120.0,8.114,413.8,0.0,326.9,0.0,0.0
560872,1481,3150.0,10.652,460.0,0.0,327.5,0.0,0.0
565184,1491,3350.0,11.535999999999998,500.1,0.0,328.2,0.0,0.0
571912,1501,3730.0,11.686000000000002,545.6,0.0,329.1,0.0,0.0
576856,1511,2850.0,9.027999999999999,496.0,0.0,329.7,0.0,0.0
581392,1521,3680.0,12.222,540.0,0.0,330.4,0.0,0.0
585632,1531,2280.0,7.45,426.8,0.0,331.0,0.0,0.0
590120,1541,2920.0,10.004000000000001,464.1,0.0,331.5,0.0,0.0
596832,1551,2900.0,11.214,528.6,0.0,332.4,0.0,0.0
601200,1561,3410.0,12.33,512.1,0.0,306.8,0.0,0.0
606096,1571,3310.0,11.404,481.1,0.0,307.6,0.0,0.0
611536,1581,3160.0,10.086,483.9,0.0,308.3,0.0,0.0
617304,1591,5080.0,15.294,643.0,0.0,309.2,0.0,0.0
621704,1601,2920.0,7.401999999999999,514.8,0.0,309.8,0.0,0.0
625872,1611,1020.0,1.44,356.1,0.0,310.4,0.0,0.0
630888,1621,2230.0,6.32,428.4,0.0,311.0,0.0,0.0
636856,1631,3160.0,8.942,522.9,0.0,311.9,0.0,0.0
